timestamp_ms,operation,latency_ms,hop_count,key,extra
1778006955087,PUT,65,0,chordKey_8_0,clients=10
1778006955088,PUT,69,0,chordKey_1_0,clients=10
1778006955088,PUT,64,0,chordKey_2_0,clients=10
1778006955087,PUT,66,0,chordKey_6_0,clients=10
1778006955088,PUT,63,0,chordKey_5_0,clients=10
1778006955088,PUT,65,0,chordKey_0_0,clients=10
1778006955087,PUT,64,0,chordKey_9_0,clients=10
1778006955087,PUT,65,0,chordKey_4_0,clients=10
1778006955090,PUT,71,0,chordKey_7_0,clients=10
1778006955089,PUT,70,0,chordKey_3_0,clients=10
1778006955156,GET,60,2,chordKey_9_0,clients=10
1778006955157,GET,67,2,chordKey_1_0,clients=10
1778006955157,GET,60,2,chordKey_4_0,clients=10
1778006955159,PUT,0,0,chordKey_1_1,clients=10
1778006955156,GET,56,2,chordKey_3_0,clients=10
1778006955156,GET,63,2,chordKey_5_0,clients=10
1778006955156,GET,61,2,chordKey_0_0,clients=10
1778006955156,GET,64,2,chordKey_6_0,clients=10
1778006955164,PUT,0,0,chordKey_0_1,clients=10
1778006955156,GET,65,2,chordKey_2_0,clients=10
1778006955156,GET,57,2,chordKey_7_0,clients=10
1778006955156,GET,66,2,chordKey_8_0,clients=10
1778006955167,PUT,0,0,chordKey_2_1,clients=10
1778006955165,PUT,0,0,chordKey_6_1,clients=10
1778006955162,PUT,0,0,chordKey_5_1,clients=10
1778006955162,PUT,0,0,chordKey_3_1,clients=10
1778006955160,PUT,0,0,chordKey_4_1,clients=10
1778006955159,PUT,1,0,chordKey_9_1,clients=10
1778006955168,PUT,0,0,chordKey_8_1,clients=10
1778006955168,PUT,0,0,chordKey_7_1,clients=10
1778006955133,PUT_HOP,0,2,chordKey_4_0,
1778006955180,PUT_HOP,0,2,chordKey_1_1,
1778006955180,PUT_HOP,0,2,chordKey_9_1,
1778006955140,PUT_HOP,0,2,chordKey_9_0,
1778006955138,PUT_HOP,0,2,chordKey_1_0,
1778006955135,PUT_HOP,0,2,chordKey_3_0,
1778006955133,PUT_HOP,0,2,chordKey_5_0,
1778006955133,PUT_HOP,0,2,chordKey_8_0,
